Type,Date | Time,"Amount, BEAM","Amount, USD","Amount, BTC","Transaction fee, BEAM",Status,Comment,Transaction ID,Kernel ID,Sending address,Sending identity,Receiving address,Receiving identity,Token,Payment proof
Send,11 Dec 2020 | 15:54,"5","1.26","0.00007090","0.010001",sent,,80896f8e575d47928dbfc418e34679a8,bdbe8126c11a2692b4bf1319c8700dd6e129a0f89a7a354020fc1c619ef3f3cf,19e68856e1ec405959e6e356fb0f8f2251e0902a7e7c08861f027a1bb555a7a8460,7db0d4f2d1da63735ecc91c8ba3f3443bb373b0af9527f2a7a6da9910c1ac12e,2f52333468a676c22f54cb575f3ac63f4a9c02965141c4a240c38175efb73c90c9e,a55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c5,51su6ZRjAm2AFwNSXJKyZJAeEhrchnwcRKZdbLQB6KGdm3DZBPKQVnuhUzUgvvXcACCyZu5JyDPeNKMZmK1KfhbWBVkXWAdGwPb27WA6CMWZNXNaGRPrGBBrLjDh7RMiZGkdEnZ7kdE4NKwa7TFDU1XiM6muaiSk1GvGftc1P9bYKFQhUvZj1cbiDKhAg29KNVhs8BTEGB6LPP6bAC9SGNqiqUWCtkMGDf2NAYkDGSJgGTAbCfZqiicaaWtMiRd3jYnmTGUAaPcSLzaxWogz2MRdSyBN6QEKBr5xsgVpEaXa2MDa9PyNsKAEwR21bu3MHCqPRtCxyW43ohEeNRWZDKkkNBKzNWrSEdaDgwQcEjnXUXGc5xVnTMBMXDxK1yRqGDa9gp2xxiNKnfk8HhzFBUkZ1CjLARH5vkkc49yWAPZwHMimhB6pz85Vr6FeSiNvutHocRJdWP3vveoMV2L9Uc91aFjECGa5x4qQ3KtdcrqbGWyA1FPAqk7JK5UVdQzcUnSQpbpfQR162JrYJJR8BBVw7sWcVD74xHbj1p3aPKjBf7UzYwGGk2eG88ExM43FB5Hs1A5rjUP2GkWN8E5QJs1GG3uQUWCHKjULxKbcSMMMWBR1UAuSafTgzwTtLnz5NAYUKoKU2hpryrcVAAxRy5rhvmBBQ1PaDvRkRbRJDqDCoN1UcsRvm7cigDFZuSsdTcBRJa2FwwzoYTgeL8qzPt8NmjTYvqGcjZ93AUZ5Ceu31TTLWAcRiqYRdPPtDumEUPawCqPDH9HqsndAkMCiTMvyJK3VJwVqqkynGREpaoxpuDUQ36NKndZUk2TWQdVCrhfJVoz5DSCQ6vfPjHej6BWuu4qrWV6syvpEg3HTZvTjocgctDzc6HqPsrF91SyKKgow9mjzkbGaTvCDCbTxwzuQYcvpSAYP9xYyrsGyrkp4L3WrBHuTmi9nZpexHAGMRMG3aXHQWtpXiFGQpqiqVhDMi64uJoAPwd7RUkoMfwztqVYPr24s1jiECAyYScNwukq62muShczHYQGiMCEgSn63GXHaXaaZ4WxGZCRPAR85rEcxs1kCr6pZrNVEaKkoZ4ZiYMtGJQaa8SfeEk7PuWsqG9BheDrDGbLikwitPTPmkBqYqC3C77spwshpHJvfJGqL3iYRquSNwztjhVj1wzP6rD9Bm1qTHY3GS97yfz2qX8Go77cEzqa7bhrvS5dyjH7aPezmTxEgQYDZUc7uyjLweYScnNmtSZaRYjVytEs7Jsr9152HwRZgogtMFVuYoXt1Gtc2tMa1UEFcpJPwFznXv93jcm8BCZxuYsMiBYc42zEzwo3P4rXaXZBUQXqNXb812iUbFXR9Du9HxhHaUoU94GzKaa1P2TPc4puSCxmtrPFu9qFshZeQXAfw6zHtWRwr47kuNYTx4J3Prm8sYPv6YSXqtE5XKkhtjWHXLLsb79GbTUxPwGjYHKqNSLQL2LUjbdcYerE6D6WBLfJkA4dUYpGhBsBR7CARQFP6tQub3gpvTXFTpiMUeCyXpWyo5yVFWHgcfnsqTQedHKjGJD4fVmVpXfprznquvYEVCbYwZNu4kbaJuo9GY42UaRe1zZgfojEKzQNUabkmYXpsUGbkwV34QXJdN7phsY42zDSQ4J8kNixQvhQWSGaNpYeZyY4AVTF5x5EzHVaxRYUNXFHAkhm4ttFVY6oStWAmvA79AQKd1vCU3gMePgp1EdC6wt1ByHQKffYmKUjdwze14ixMzpha55giE3ndak7y1xDEjMKVQDhfKv1uMmW7e7zQF7jrzJiWacDi5ADCuJB69xGHYfTYwvRwQXiwYYGLkSUxmzLhKjvNSbJXEE4rsAoJvcZyN9GBUa36XS24AbTPqCvCuLU9yyBMAFkQrK57VDU7zxgNYM91vKx2Rb1MLt8PZLb3DqtACyFeQ9UhrEXgdN6P4sEnaTf3RXtRjMKNKZ99zvoeEHusy453LvbGSSZqRQoL4KPUPHRiDeqevNGBRarQg4iv96ySMeXmKpLn8nvZ8gPcMfofrWZtSiyqJjCwDSrPzLqRj3RBt3MEvfPiV4NatWyCixzutMmbpqRd9cucd5GPbvRc6chuw9zfJ3mcJrB47VzCHDZAN1LQhNJKS7jYGomyxs53c1n7gZKoT1uZSoso1CgbTuw2mNbtDrqJnEJB2chbvdcje2rwGiMU3akLWvap45d3z8z7g9jYg81CxmS5HqGUFHJ11rDdKoTz6zsP35ZhJjSgbsZxvGMAe7h2vHZ16JvqJfpVXUKH4XUSZqryvuvvYbhLhvvwk9gAtb4omnTkf6HDKVK6WVNdbgqJNwA4d9tg8Uq6JBu8vvc3Vb3HWzF4rA1ispGxeT2BQW4cogaWL6QbNDmt3DE5K6pNZWXsMoZXF5D83A3YCfCSyUDtBfvavhAtwyU9vpw3cUPujowUYwYQZ51VH4AidykCZeddkuJkM8vr8CqxwVifCnX4eazB4UxA4AQEX12xuY2SNtj95SJdB3ZSePjNGCprHqeyNv6btubGeRbCuk1QY91qEv23ZkwmXWRgQJvCqWW23Nqdh7YyYK6QF1fJBFs4zCNRMDqjPb5rLzuPbm4S8HxcVswEinyw51sHHBdLkTw8vu7mpeEgcKcMrC9VhvAupc5HxWPxAHNDXukrXjSDDFfA9yT8qcTwgMAU4BmxGrukA5JdH9PxuKJnfoEympCqCcGv7xWpMiLK7RJH1tLivVhmKLhDQKNKQ7JG5bTgFgemHhraip7WrqE7fF3qs8dgSYTbTKbppe4gKehpiiHZQARUuBS93Gie1TimLNEQTmKN3HBVtABcTgven8UQQt9kQCTtp2hFmar2gaDLufKRMveZshESS2uhd1HgwzsqUZ9yUQc2is5LTp7BKYrXkxZYNehuRmMGQ6NRSAkzTEz46rLL66fSJszBz1Q8qE61L5tdDEw53vaLGDtkntF45jgY9odN4fSBcPuGNohVGHe4W1C36cAFixyDFQrFMHnpncwfgFWHTMrQEcmT29WYzJtNiT9rLiEyMoRBuEq1wU4sMzrsYyQ8topYCsB1TyuWSeVP2xDx4JzBhTXju412vTNC5r4yumq7mMNJs39jJSepUDgH3AbaEA6eHHghqJ8mJjgJxsjLHtuaaTaPawQ3agdgqaAYsuHoHQvp8x4BU8G8aRf2F2awroQsrVWyU3MyCn6jA9Kj2LkxhAXZf1amvjRNHDV8aCZ2P,7db0d4f2d1da63735ecc91c8ba3f3443bb373b0af9527f2a7a6da9910c1ac12ea55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c503a4420f0394930408ffffffffffffffffbc5d1265394dc29449a7db0672af3839d37435cc9dd03a3b61ab26d256b4d6b69f64b80098a89b0c54c9f07a4d2249544f9e2f67b3d6f3b29f0dc72e43a7b4bab7ba10cf340f695fd07363e3ada8a8213ba2f815fabdb09dcae6668026958353fc28afdc556b6dbed384254c603c42e317986653ecc9707d0ebcd1a76f709a90904d02b0b51c4bc34c26fdccd4be051a5154177d6bdc927ba5638d28fc633a886d7756d77c8c21d5b079717653e4b1f3e0251f2838209f2298c7055085bb7504ec190516e42996f89c20c3eb97bc54726c0c801bf03dde7f69d6f8f1c6b12098040065cd1d809b6446ed2184bb5a7a76dd8a731c2a6ddbe901c380cdfebd1838a5d9124de07fc7471fb4a0272674c7065bdf3bc998209232818d5b64d8d9fa85e10347d53024dce335c21883b65c2750b493f52defdb2e2a6b967d2f439ecfa9d6b183b57ce380896f8e575d47928dbfc418e34679a800d3f2aaab1cb6050000000000000000000000000000000000000000000000000000000000000000000000000000000000
Send,11 Dec 2020 | 15:45,"1","0.25","0.00001418","0.010001",sent,,bd068b75da654660ad028b8a7474ad78,6abc49d1c9d50fbddf688af55f099921f2429faab2d6b04ba0329fc852673f9d,3b2ce06ecb1db0d2fb28bbb2f2f599090533e8a32fd79ed0861d139497852b1e5c7,2b5101cadbfe6e58a90fae0b7751e544edf0531ad4808d850f9d8a605cb1c1e,0,a55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c5,7GYYwe5xu6KpgR5A7QvgZ1RUrALmrvzeP3kSs8HuwTiFU7Lc5QpgwvoBGKAH3pFKDsjUq5FtAd3iTYE5JZ3G1B7CCMp6KCqFMrDNEDd18ERwsEQS1cZdVF48ZoPev5tXMb4guadFyuDbtmBkp4iXkKDfBUYPhp9fm7M4hm9pdmMRJygWhFCtt3JnHVLTbHpzcAuGKDGQ3xBMC6D7rzpVyuUxBxvN45Wh39CFGftZdLBKSipF8vxGTg4YqVCvPuV6SGpFouNcfRSKyh9sghQ4YdE8bJFui3w4cAbrpqB1xHThawTFVWhhHv61Mav1o188Py9NNkzr5XZvGqESJBSymCQ3MnnsqxkibwicYAD3gKUfnq3L7KVN7JhE3Dxgc8gZWNbiaXN7JeQFuN3HNaeBarVDM9YJ5iPCvwaTJ,02b5101cadbfe6e58a90fae0b7751e544edf0531ad4808d850f9d8a605cb1c1ea55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c503a4420f038d930408ffffffffffffffff66007f805ba1058ab631377c1d631a7cb72d1aaa786896352fa3cb81c3640081ce05a748c9df922c5b05db8e380e0ff57dc34bcd1eeacfa00e53f5aa5feef6bb120fdde9c8bd9111dd33c795c2cd1ac5fade4e669058bbbe6c94b881fb7ad4dc707eaf7b961cfe24454f2c8fd802f9d2be9584377dcc947fe4894f6308c5a94d7f254ffe8f614117cffed992e2c12648b11bd5843558f1b003014521a2e44da09a30cfb6fe8bd3dff62f7d1fd2b21a1d0e0fabd21ca088cd27b8e0292cf3b820ef08bfecff79a2b690cbc4bc1c9f24be72c859fa0999d833ad6abfeb42316d8c0400e1f505807eeb0b7ed82d7fd18a69270cec52e567d8a4fc9bffe1df74b190e115ba3d5ddd762402c575e6e8d2ab83f4109426833af4e3a94dbae18707e1e4f02190cda3e27bbe5c49244f193aee40fb5dcd07a6329c6e0e2075dfd354c66d492ad9b4dbb0bd068b75da654660ad028b8a7474ad7840d3f2aaab1cb605000000000000000000000000000000000000000000000000000000000000000000000000000000001e
Send,11 Dec 2020 | 15:44,"2","0.50","0.00002836","0.000001",sent,,9ce6bc94da5b4414b361e1269546cfc2,553512e8b12f084eb6b87cfc3c7f6917fc44ee59c2bef08b8ddcd5e3a3673aa1,2a16e4635683d9ed2a1318bd33dae363e7bb0ed1542f0257656143ac29c5e316474,5d97f698e48f7e0ee5e6f89f2624f516219b92d197f66a99c2823871e9fb59a7,2f52333468a676c22f54cb575f3ac63f4a9c02965141c4a240c38175efb73c90c9e,a55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c5,2fv4VQ3NQH6JFAfM4pRAHsA3XW3KaSb3kbZyHPJjcR9LdysLy77qmKEMVRumQJnJpAT8yzsZc2QWBAx3WCPYRbUmgRHo3CEGj1D7hCkN6uUB4A2bG3WJrMZ8YwQo4tyRCUKQ7YdsKcTw,805d97f698e48f7e0ee5e6f89f2624f516219b92d197f66a99c2823871e9fb59a780a55cf696c892fa175ef17141e7b41f3785f4915599626742de86451eb65878c50400c2eb0b553512e8b12f084eb6b87cfc3c7f6917fc44ee59c2bef08b8ddcd5e3a3673aa19988182853e4110b3dffb1a6d73844fdcfa3403d710e5872609fd933457d579b00882f6b36803ac88cf71d17991d9494f03491d90de67355bbdc6c61936d81ab78
Receive,11 Dec 2020 | 15:41,"21.969997","5.54","0.00031153","0.000001",received,,937aa382a7e148ab9f73b66b76dabe72,2bb53f52c690b14d52f84eb5f44285ce23af977a42af2d6d12d67842cdec0309,17715648a87b2c1f9776118606310c2c0413e8cab8a433b52685b4c1455b6e0180c,e4aaa9ff302c67b302003df0273d0643d485994e9b497a5c5f611e0429edda29,3966facbec64bf8ab96f8d2098d9186974e4dc97f00f533cd81396740ed46e9c3a3,9c729b248c3cd448e614b76b6abbeae22fd418ef08f4d6ebd7216db2d80cc731,,

